! TITLE: nickel powder Ni 755; "Ni voor KG"
!
!
!
!
!
10.585285	0.680435	0.011142
10.690101	0.679130	0.011135
10.794916	0.684285	0.011904
10.899729	0.704008	0.011766
11.004542	0.688217	0.011934
11.109353	0.729503	0.012188
11.215162	0.746109	0.012643
11.319971	0.795370	0.012863
11.424780	0.792417	0.013163
11.529587	0.782840	0.012669
11.634393	0.798967	0.013161
11.739199	0.820081	0.013001
11.844003	0.799647	0.013191
11.948806	0.843988	0.013145
12.053608	0.827062	0.013423
12.158410	0.854847	0.013479
12.263210	0.844050	0.013500
12.368009	0.797298	0.012792
12.473805	0.825853	0.013594
12.578603	0.854938	0.013421
12.683399	0.835583	0.013683
12.788194	0.839055	0.013291
12.892988	0.818426	0.013324
12.997782	0.846882	0.013219
13.102574	0.819770	0.013236
13.207365	0.817605	0.012876
13.312155	0.835921	0.013452
13.416945	0.820103	0.013291
13.521733	0.802758	0.013151
13.626520	0.830064	0.013023
13.732305	0.808291	0.013275
13.837090	0.809822	0.013029
13.941874	0.854908	0.013638
14.046658	0.852261	0.013608
14.151440	0.857864	0.013813
14.256222	0.844071	0.012991
14.361002	0.798706	0.012940
14.465782	0.852501	0.013569
14.570561	0.838145	0.013610
14.675338	0.859988	0.013380
14.780115	0.818550	0.013461
14.884891	0.834362	0.013389
14.990664	0.862750	0.013861
15.095438	0.859202	0.013553
15.200211	0.831532	0.013557
15.304983	0.820110	0.012988
15.409754	0.833111	0.013583
15.514524	0.834463	0.013210
15.619293	0.811476	0.013473
15.724061	0.837865	0.013531
15.828829	0.834079	0.013537
15.933595	0.825595	0.013323
16.038361	0.869631	0.013974
16.143126	0.834477	0.013054
16.248887	0.851699	0.013755
16.353650	0.845786	0.013342
16.458412	0.859109	0.013807
16.563173	0.815551	0.013245
16.667933	0.814823	0.013303
16.772692	0.842542	0.013539
16.877450	0.806679	0.013391
16.982208	0.802153	0.012718
17.086964	0.816161	0.013496
17.191720	0.870186	0.013695
17.311440	0.819665	0.012664
17.416193	0.786816	0.012501
17.521944	0.836836	0.012689
17.626696	0.821205	0.012827
17.731447	0.816889	0.012901
17.836197	0.827161	0.012890
17.940947	0.823559	0.012318
18.045695	0.813270	0.012652
18.150443	0.821396	0.012555
18.255189	0.820232	0.012876
18.359935	0.818154	0.012722
18.464680	0.808420	0.012758
18.569425	0.827778	0.012576
18.674168	0.826343	0.012811
18.779908	0.841916	0.012541
18.884650	0.826643	0.012949
18.989390	0.817259	0.012541
19.094130	0.831033	0.013037
19.198869	0.837726	0.012870
19.303608	0.802030	0.012762
19.408345	0.832137	0.012753
19.513082	0.803058	0.012807
19.617818	0.829975	0.012650
19.722552	0.819103	0.012881
19.827287	0.827563	0.012668
19.932020	0.830737	0.013062
20.037750	0.843895	0.012659
20.142481	0.835837	0.013030
20.247212	0.847376	0.012710
20.351942	0.816944	0.012807
20.456672	0.846752	0.012569
20.561400	0.862364	0.012954
20.666128	0.833078	0.012792
20.770854	0.822937	0.012904
20.875580	0.831752	0.012700
20.980306	0.824667	0.012908
21.085030	0.846415	0.013044
21.189754	0.810172	0.012715
21.295474	0.828908	0.012641
21.400196	0.831071	0.012790
21.504917	0.841986	0.012863
21.609638	0.824281	0.012769
21.714357	0.840555	0.012709
21.819076	0.812896	0.012948
21.923794	0.848559	0.012753
22.028512	0.825376	0.012786
22.133229	0.828437	0.012476
22.237944	0.829070	0.012745
22.342659	0.839969	0.012852
22.447374	0.809951	0.012849
22.553085	0.834547	0.012687
22.657797	0.850694	0.013034
22.762510	0.857401	0.012937
22.867221	0.851385	0.012985
22.971931	0.835066	0.012618
23.076641	0.850406	0.012687
23.181350	0.850296	0.012967
23.286059	0.838045	0.012883
23.390766	0.888061	0.013105
23.495473	0.854075	0.012932
23.600179	0.860728	0.012742
23.705882	0.831905	0.012821
23.810587	0.878815	0.012772
23.915291	0.867358	0.012846
24.076832	0.854175	0.013356
24.181535	0.858330	0.013668
24.286236	0.882810	0.013363
24.391934	0.862302	0.013634
24.496634	0.858469	0.013249
24.601333	0.881804	0.014015
24.706032	0.867440	0.013806
24.810729	0.855502	0.013813
24.915427	0.869092	0.013207
25.020123	0.879840	0.013645
25.124819	0.892399	0.013548
25.229514	0.904392	0.013959
25.334208	0.897718	0.013606
25.438902	0.912849	0.014183
25.543595	0.910380	0.013937
25.649285	0.922471	0.013930
25.753976	0.934292	0.013831
25.858667	0.921149	0.014030
25.963358	0.964350	0.013898
26.068047	0.928447	0.014349
26.172736	0.946631	0.014375
26.277424	0.936710	0.014047
26.382112	0.912639	0.013830
26.486799	0.918916	0.014048
26.591485	0.920047	0.013678
26.696171	0.935156	0.014357
26.800856	0.930449	0.013864
26.906538	0.871945	0.013638
27.011221	0.892110	0.013524
27.115904	0.879925	0.013429
27.220587	0.892993	0.013342
27.325269	0.890315	0.013808
27.429950	0.902185	0.013938
27.534630	0.900054	0.013953
27.639310	0.908854	0.013708
27.743989	0.888113	0.013837
27.848668	0.886427	0.013674
27.953346	0.883604	0.013930
28.058023	0.896690	0.013567
28.163697	0.915371	0.014290
28.268373	0.907496	0.013674
28.373049	0.892725	0.014038
28.477724	0.911393	0.013739
28.582398	0.885916	0.013812
28.687072	0.912602	0.013508
28.791745	0.902366	0.013864
28.896417	0.930819	0.013776
29.001089	0.924818	0.014129
29.105760	0.964427	0.014039
29.210431	0.952940	0.014431
29.316098	0.977323	0.014094
29.420768	1.039251	0.014962
29.525437	1.151894	0.015291
29.630105	1.251647	0.016411
29.734773	1.366376	0.016828
29.839440	1.516757	0.018219
